CodMunicipio;Municipi;Casos PCR+;Incidència acumulada PCR+;Casos PCR+ 14 dies;Incidència acumulada PCR+14;Defuncions;Taxa de defunció
12024;Benafer; 0; 0,0; 0; 0,0; 0; 0,0
12025;Benafigos; 0; 0,0; 0; 0,0; 0; 0,0
46051;Benaguasil; 97; 882,78; 7; 63,71; 0; 0,0
46050;Benagéber; 1; 520,83; 0; 0,0; 0; 0,0
12026;Benasal; 12; 1123,6; 0; 0,0; 0; 0,0
3022;Benasau; 0; 0,0; 0; 0,0; 0; 0,0
46052;Benavites; 4; 646,2; 1; 161,55; 1; 161,55
3023;Beneixama; 7; 415,43; 0; 0,0; 1; 59,35
46053;Beneixida; 0; 0,0; 0; 0,0; 0; 0,0
3024;Benejúzar; 61; 1129,21; 16; 296,19; 4; 74,05
46054;Benetússer; 225; 1520,37; 38; 256,77; 4; 27,03
3025;Benferri; 15; 772,4; 3; 154,48; 0; 0,0
3026;Beniarbeig; 10; 478,01; 0; 0,0; 0; 0,0
3027;Beniardá; 0; 0,0; 0; 0,0; 0; 0,0
46055;Beniarjó; 17; 963,17; 1; 56,66; 0; 0,0
3028;Beniarrés; 16; 1431,13; 12; 1073,35; 0; 0,0
46056;Beniatjar; 2; 896,86; 2; 896,86; 0; 0,0
12027;Benicarló; 238; 884,36; 25; 92,9; 3; 11,15
12028;Benicasim/Benicàssim; 168; 923,48; 33; 181,4; 5; 27,48
46057;Benicolet; 4; 702,99; 0; 0,0; 0; 0,0
46904;Benicull de Xúquer; 0; 0,0; 0; 0,0; 0; 0,0
3030;Benidoleig; 6; 547,95; 0; 0,0; 0; 0,0
3031;Benidorm; 1055; 1535,19; 32; 46,57; 71; 103,32
46059;Benifairó de la Valldigna; 13; 827,5; 11; 700,19; 0; 0,0
46058;Benifairó de les Valls; 13; 594,69; 5; 228,73; 0; 0,0
46060;Benifaió; 189; 1580,0; 67; 560,11; 1; 8,36
3032;Benifallim; 0; 0,0; 0; 0,0; 0; 0,0
3033;Benifato; 0; 0,0; 0; 0,0; 0; 0,0
46061;Beniflá; 0; 0,0; 0; 0,0; 0; 0,0
3029;Benigembla; 0; 0,0; 0; 0,0; 0; 0,0
46062;Benigánim; 263; 4502,65; 9; 154,08; 6; 102,72
3034;Benijófar; 8; 240,82; 0; 0,0; 0; 0,0
3035;Benilloba; 7; 966,85; 1; 138,12; 0; 0,0
3036;Benillup; 0; 0,0; 0; 0,0; 0; 0,0
3037;Benimantell; 2; 414,08; 1; 207,04; 0; 0,0
3038;Benimarfull; 1; 244,5; 0; 0,0; 0; 0,0
3039;Benimassot; 0; 0,0; 0; 0,0; 0; 0,0
3040;Benimeli; 1; 239,23; 0; 0,0; 0; 0,0
46063;Benimodo; 5; 220,46; 0; 0,0; 0; 0,0
46064;Benimuslem; 3; 459,42; 0; 0,0; 0; 0,0
46065;Beniparrell; 15; 768,44; 2; 102,46; 1; 51,23
46066;Benirredrà; 15; 942,21; 2; 125,63; 0; 0,0
46067;Benisanó; 14; 619,47; 3; 132,74; 0; 0,0
3041;Benissa; 36; 327,12; 3; 27,26; 2; 18,17
46068;Benissoda; 0; 0,0; 0; 0,0; 0; 0,0
46069;Benisuera; 0; 0,0; 0; 0,0; 0; 0,0
3042;Benitachell/Poble Nou de Benitatxell (el); 15; 350,8; 1; 23,39; 2; 46,77
12029;Benlloch; 11; 1064,86; 0; 0,0; 0; 0,0
12021;Betxí; 29; 513,73; 3; 53,14; 0; 0,0
3043;Biar; 17; 463,09; 2; 54,48; 1; 27,24
46071;Bicorp; 3; 562,85; 1; 187,62; 0; 0,0
3044;Bigastro; 55; 816,87; 16; 237,64; 1; 14,85
46072;Bocairent; 15; 357,57; 2; 47,68; 1; 23,84
46073;Bolbaite; 20; 1474,93; 0; 0,0; 1; 73,75
3045;Bolulla; 0; 0,0; 0; 0,0; 0; 0,0
46074;Bonrepòs i Mirambell; 24; 650,23; 4; 108,37; 0; 0,0
12032;Borriana/Burriana; 457; 1317,65; 31; 89,38; 40; 115,33
12031;Borriol; 53; 988,81; 1; 18,66; 3; 55,97
46075;Bufali; 1; 621,12; 0; 0,0; 0; 0,0
46076;Bugarra; 5; 687,76; 0; 0,0; 0; 0,0
46078;Burjassot; 710; 1867,24; 139; 365,56; 12; 31,56
3046;Busot; 21; 705,17; 0; 0,0; 1; 33,58
46077;Buñol; 128; 1360,54; 13; 138,18; 2; 21,26
46047;Bèlgida; 6; 891,53; 0; 0,0; 2; 297,18
46070;Bétera; 296; 1219,51; 17; 70,04; 18; 74,16
12033;Cabanes; 9; 304,26; 0; 0,0; 2; 67,61
46079;Calles; 0; 0,0; 0; 0,0; 0; 0,0
3048;Callosa d'En Sarrià; 100; 1356,3; 5; 67,82; 9; 122,07
3049;Callosa de Segura; 221; 1160,84; 53; 278,39; 3; 15,76
3047;Calp; 99; 435,64; 4; 17,6; 3; 13,2
3050;Campello (el); 250; 881,87; 34; 119,93; 6; 21,16
3051;Campo de Mirra/Camp de Mirra (el); 0; 0,0; 0; 0,0; 0; 0,0
46080;Camporrobles; 3; 251,89; 0; 0,0; 0; 0,0
46081;Canals; 117; 861,12; 8; 58,88; 3; 22,08
46082;Canet d'En Berenguer; 42; 627,15; 9; 134,39; 1; 14,93
12036;Canet lo Roig; 1; 148,37; 1; 148,37; 0; 0,0
46083;Carcaixent; 135; 663,13; 24; 117,89; 5; 24,56
46085;Carlet; 344; 2205,41; 71; 455,19; 4; 25,64
46086;Carrícola; 0; 0,0; 0; 0,0; 0; 0,0
46087;Casas Altas; 0; 0,0; 0; 0,0; 0; 0,0
46088;Casas Bajas; 0; 0,0; 0; 0,0; 0; 0,0
46089;Casinos; 6; 216,06; 2; 72,02; 0; 0,0
3053;Castalla; 92; 908,73; 10; 98,78; 4; 39,51
12037;Castell de Cabres; 0; 0,0; 0; 0,0; 0; 0,0
3054;Castell de Castells; 1; 222,72; 0; 0,0; 1; 222,72
3075;Castell de Guadalest (el); 0; 0,0; 0; 0,0; 0; 0,0
12038;Castellfort; 0; 0,0; 0; 0,0; 0; 0,0
12039;Castellnovo; 3; 327,15; 0; 0,0; 0; 0,0
46091;Castellonet de la Conquesta; 1; 680,27; 0; 0,0; 0; 0,0
46090;Castelló de Rugat; 11; 483,73; 4; 175,9; 0; 0,0
12040;Castellón de la Plana/Castelló de la Plana; 1956; 1139,01; 210; 122,29; 58; 33,77
46092;Castielfabib; 0; 0,0; 0; 0,0; 0; 0,0
12041;Castillo de Villamalefa; 0; 0,0; 0; 0,0; 0; 0,0
46093;Catadau; 18; 648,18; 3; 108,03; 1; 36,01
46094;Catarroja; 297; 1056,19; 42; 149,36; 17; 60,46
3055;Catral; 46; 532,47; 10; 115,75; 0; 0,0
12042;Catí; 0; 0,0; 0; 0,0; 1; 138,7
46095;Caudete de las Fuentes; 13; 1857,14; 1; 142,86; 0; 0,0
12043;Caudiel; 0; 0,0; 0; 0,0; 0; 0,0
3052;Cañada; 7; 573,77; 0; 0,0; 1; 81,97
46096;Cerdà; 1; 302,11; 0; 0,0; 0; 0,0
12044;Cervera del Maestre; 4; 695,65; 0; 0,0; 0; 0,0
46107;Chella; 12; 492,81; 1; 41,07; 0; 0,0
46106;Chelva; 7; 470,11; 1; 67,16; 1; 67,16
46108;Chera; 4; 843,88; 0; 0,0; 0; 0,0
12052;Chert/Xert; 6; 855,92; 3; 427,96; 1; 142,65
46109;Cheste; 104; 1224,39; 7; 82,41; 3; 35,32
12053;Chilches/Xilxes; 7; 261,29; 0; 0,0; 0; 0,0
46111;Chiva; 139; 919,13; 26; 171,92; 11; 72,74
12055;Chodos/Xodos; 0; 0,0; 0; 0,0; 0; 0,0
46112;Chulilla; 1; 150,38; 0; 0,0; 0; 0,0
12056;Chóvar; 0; 0,0; 0; 0,0; 0; 0,0
12045;Cinctorres; 7; 1790,28; 1; 255,75; 1; 255,75
12046;Cirat; 1; 497,51; 0; 0,0; 0; 0,0
3056;Cocentaina; 44; 382,24; 18; 156,37; 4; 34,75
46097;Cofrentes; 14; 1238,94; 1; 88,5; 1; 88,5
3057;Confrides; 0; 0,0; 0; 0,0; 0; 0,0
46098;Corbera; 17; 548,39; 2; 64,52; 0; 0,0
12048;Cortes de Arenoso; 0; 0,0; 0; 0,0; 0; 0,0
46099;Cortes de Pallás; 2; 245,7; 0; 0,0; 0; 0,0
12049;Costur; 4; 763,36; 0; 0,0; 1; 190,84
46100;Cotes; 5; 1501,5; 0; 0,0; 0; 0,0
12050;Coves de Vinromà (les); 13; 713,11; 1; 54,85; 0; 0,0
3058;Cox; 67; 918,19; 18; 246,68; 2; 27,41
3059;Crevillent; 208; 718,43; 44; 151,98; 5; 17,27
12051;Culla; 0; 0,0; 0; 0,0; 0; 0,0
46105;Cullera; 126; 568,98; 10; 45,16; 1; 4,52
12034;Càlig; 7; 358,97; 0; 0,0; 0; 0,0
46084;Càrcer; 52; 2792,7; 0; 0,0; 1; 53,71
46113;Daimús; 32; 1026,63; 3; 96,25; 1; 32,08
3061;Daya Nueva; 7; 402,99; 0; 0,0; 2; 115,14
3062;Daya Vieja; 3; 434,78; 0; 0,0; 1; 144,93
3064;Dolores; 78; 1044,18; 24; 321,29; 6; 80,32
46114;Domeño; 4; 564,97; 0; 0,0; 0; 0,0
46115;Dos Aguas; 0; 0,0; 0; 0,0; 0; 0,0
3063;Dénia; 801; 1899,63; 19; 45,06; 12; 28,46
3065;Elche/Elx; 2561; 1101,42; 512; 220,2; 27; 11,61
3066;Elda; 763; 1450,07; 271; 515,03; 22; 41,81
46116;Eliana (l'); 151; 828,08; 14; 76,78; 6; 32,9
46117;Emperador; 2; 291,12; 0; 0,0; 0; 0,0
46118;Enguera; 52; 1094,28; 1; 21,04; 2; 42,09
12057;Eslida; 1; 131,75; 0; 0,0; 0; 0,0
12058;Espadilla; 0; 0,0; 0; 0,0; 0; 0,0
46120;Estivella; 5; 343,41; 3; 206,04; 0; 0,0
46121;Estubeny; 1; 826,45; 0; 0,0; 0; 0,0
3067;Facheca; 0; 0,0; 0; 0,0; 0; 0,0
3068;Famorca; 0; 0,0; 0; 0,0; 0; 0,0
12059;Fanzara; 2; 749,06; 0; 0,0; 0; 0,0
46122;Faura; 29; 819,67; 9; 254,38; 0; 0,0
46123;Favara; 35; 1389,99; 0; 0,0; 4; 158,86
12060;Figueroles; 1; 191,2; 0; 0,0; 0; 0,0
3069;Finestrat; 38; 565,9; 1; 14,89; 3; 44,68
46126;Foios; 65; 882,31; 8; 108,59; 1; 13,57
3077;Fondó de les Neus (el)/Hondón de las Nieves; 11; 432,39; 1; 39,31; 1; 39,31
46127;Font d'En Carròs (la); 14; 369,0; 1; 26,36; 0; 0,0
46128;Font de la Figuera (la); 12; 588,81; 2; 98,14; 0; 0,0
46124;Fontanars dels Alforins; 1; 102,99; 1; 102,99; 0; 0,0
12061;Forcall; 20; 4301,08; 7; 1505,38; 0; 0,0
3070;Formentera del Segura; 13; 310,19; 2; 47,72; 1; 23,86
46125;Fortaleny; 5; 487,33; 0; 0,0; 0; 0,0
12063;Fuente la Reina; 0; 0,0; 0; 0,0; 0; 0,0
46129;Fuenterrobles; 13; 1906,16; 6; 879,77; 0; 0,0
12064;Fuentes de Ayódar; 0; 0,0; 0; 0,0; 0; 0,0
3072;Gaianes; 0; 0,0; 0; 0,0; 0; 0,0
12065;Gaibiel; 1; 531,91; 0; 0,0; 0; 0,0
46131;Gandia; 703; 942,84; 60; 80,47; 8; 10,73
3071;Gata de Gorgos; 23; 380,23; 4; 66,13; 0; 0,0
46130;Gavarda; 2; 192,68; 0; 0,0; 0; 0,0
12067;Geldo; 3; 472,44; 0; 0,0; 1; 157,48
46132;Genovés; 16; 562,98; 0; 0,0; 0; 0,0
46133;Gestalgar; 0; 0,0; 0; 0,0; 0; 0,0
46134;Gilet; 15; 451,26; 3; 90,25; 0; 0,0
46135;Godella; 149; 1138,45; 21; 160,45; 2; 15,28
46136;Godelleta; 18; 509,48; 2; 56,61; 1; 28,3
3073;Gorga; 0; 0,0; 0; 0,0; 0; 0,0
46137;Granja de la Costera (la); 1; 350,88; 0; 0,0; 0; 0,0
3074;Granja de Rocamora; 9; 348,84; 0; 0,0; 0; 0,0
46138;Guadasequies; 0; 0,0; 0; 0,0; 0; 0,0
46139;Guadassuar; 186; 3156,29; 102; 1730,87; 2; 33,94
46140;Guardamar de la Safor; 0; 0,0; 0; 0,0; 0; 0,0
3076;Guardamar del Segura; 107; 697,16; 10; 65,16; 8; 52,12
46902;Gátova; 0; 0,0; 0; 0,0; 0; 0,0
12068;Herbés; 0; 0,0; 0; 0,0; 0; 0,0
12069;Higueras; 0; 0,0; 0; 0,0; 0; 0,0
46141;Higueruelas; 0; 0,0; 0; 0,0; 0; 0,0
3078;Hondón de los Frailes; 7; 584,31; 1; 83,47; 0; 0,0
3079;Ibi; 213; 906,81; 22; 93,66; 9; 38,32
3080;Jacarilla; 17; 840,75; 11; 544,02; 0; 0,0
46142;Jalance; 37; 4457,83; 0; 0,0; 8; 963,86
12070;Jana (la); 1; 148,15; 0; 0,0; 0; 0,0
46144;Jarafuel; 12; 1591,51; 0; 0,0; 4; 530,5
3083;Jijona/Xixona; 19; 276,77; 2; 29,13; 1; 14,57
3082;Jávea/Xàbia; 165; 597,74; 10; 36,23; 3; 10,87
12071;Jérica; 6; 387,6; 0; 0,0; 0; 0,0
46154;Llanera de Ranes; 4; 379,15; 0; 0,0; 0; 0,0
46155;Llaurí; 1; 85,47; 0; 0,0; 0; 0,0
46151;Llocnou d'En Fenollet; 11; 1200,87; 4; 436,68; 0; 0,0
46152;Llocnou de la Corona; 0; 0,0; 0; 0,0; 0; 0,0
46153;Llocnou de Sant Jeroni; 3; 549,45; 0; 0,0; 0; 0,0
46156;Llombai; 19; 707,64; 5; 186,22; 1; 37,24
12074;Llosa (la); 4; 420,61; 0; 0,0; 3; 315,46
46157;Llosa de Ranes (la); 29; 811,19; 7; 195,8; 1; 27,97
46150;Llutxent; 16; 682,3; 7; 298,51; 0; 0,0
3085;Llíber; 0; 0,0; 0; 0,0; 0; 0,0
46147;Llíria; 133; 571,97; 28; 120,41; 4; 17,2
3084;Lorcha/Orxa (l'); 2; 346,02; 0; 0,0; 0; 0,0
46148;Loriguilla; 6; 296,3; 0; 0,0; 1; 49,38
46149;Losa del Obispo; 1; 197,24; 1; 197,24; 0; 0,0
12072;Lucena del Cid; 2; 153,61; 0; 0,0; 0; 0,0
12073;Ludiente; 0; 0,0; 0; 0,0; 0; 0,0
46158;Macastre; 9; 701,48; 0; 0,0; 0; 0,0
46159;Manises; 381; 1232,25; 28; 90,56; 22; 71,15
46160;Manuel; 12; 494,23; 0; 0,0; 0; 0,0
46161;Marines; 8; 437,64; 2; 109,41; 0; 0,0
46162;Masalavés; 4; 250,63; 1; 62,66; 0; 0,0
46163;Massalfassar; 16; 648,04; 4; 162,01; 0; 0,0
46164;Massamagrell; 153; 959,13; 44; 275,83; 3; 18,81
46165;Massanassa; 85; 879,28; 12; 124,13; 1; 10,34
12075;Mata de Morella (la); 1; 602,41; 0; 0,0; 0; 0,0
12076;Matet; 0; 0,0; 0; 0,0; 0; 0,0
46166;Meliana; 94; 868,6; 14; 129,37; 3; 27,72
46167;Millares; 2; 579,71; 0; 0,0; 0; 0,0
3086;Millena; 0; 0,0; 0; 0,0; 0; 0,0
46168;Miramar; 26; 987,09; 0; 0,0; 1; 37,97
46169;Mislata; 471; 1078,03; 35; 80,11; 11; 25,18
46170;Mogente/Moixent; 65; 1510,93; 2; 46,49; 0; 0,0
46171;Moncada; 253; 1153,41; 25; 113,97; 9; 41,03
12077;Moncofa; 33; 505,75; 1; 15,33; 1; 15,33
3088;Monforte del Cid; 86; 1053,28; 32; 391,92; 0; 0,0
12079;Montanejos; 2; 349,65; 0; 0,0; 0; 0,0
46173;Montaverner; 6; 368,1; 0; 0,0; 0; 0,0
46174;Montesa; 1; 85,91; 0; 0,0; 0; 0,0
3903;Montesinos (Los); 17; 342,19; 1; 20,13; 0; 0,0
46175;Montitxelvo/Montichelvo; 1; 171,23; 0; 0,0; 0; 0,0
46176;Montroy; 15; 523,19; 0; 0,0; 1; 34,88
46172;Montserrat; 46; 583,9; 6; 76,16; 1; 12,69
12078;Montán; 23; 6216,22; 1; 270,27; 5; 1351,35
3089;Monóvar/Monòver; 63; 517,79; 17; 139,72; 3; 24,66
12080;Morella; 87; 3580,25; 9; 370,37; 22; 905,35
3091;Murla; 1; 212,77; 1; 212,77; 0; 0,0
3092;Muro de Alcoy; 81; 868,73; 33; 353,93; 3; 32,18
46177;Museros; 80; 1238,77; 22; 340,66; 3; 46,45
3090;Mutxamel; 175; 690,28; 46; 181,45; 5; 19,72
12081;Navajas; 3; 418,99; 0; 0,0; 0; 0,0
46179;Navarrés; 57; 1920,49; 1; 33,69; 4; 134,77
3093;Novelda; 174; 678,34; 29; 113,06; 16; 62,38
46180;Novelé/Novetlè; 15; 1792,11; 5; 597,37; 0; 0,0
3094;Nucia (la); 130; 698,81; 7; 37,63; 1; 5,38
12082;Nules; 95; 725,02; 27; 206,06; 1; 7,63
46178;Náquera; 17; 258,48; 1; 15,2; 0; 0,0
46181;Oliva; 179; 713,12; 9; 35,86; 3; 11,95
46183;Olleria (l'); 66; 797,01; 17; 205,29; 4; 48,3
46182;Olocau; 2; 112,93; 0; 0,0; 0; 0,0
12083;Olocau del Rey; 7; 5882,35; 0; 0,0; 0; 0,0
12084;Onda; 356; 1432,08; 57; 229,29; 7; 28,16
3095;Ondara; 67; 971,86; 6; 87,03; 1; 14,51
3096;Onil; 52; 692,69; 4; 53,28; 18; 239,78
46184;Ontinyent; 469; 1326,85; 89; 251,79; 8; 22,63
3097;Orba; 13; 597,98; 2; 92,0; 0; 0,0
3099;Orihuela; 943; 1218,13; 196; 253,18; 13; 16,79
12085;Oropesa del Mar/Orpesa; 109; 1200,97; 3; 33,05; 4; 44,07
3098;Orxeta; 4; 543,48; 0; 0,0; 0; 0,0
46185;Otos; 0; 0,0; 0; 0,0; 0; 0,0
46186;Paiporta; 232; 889,3; 18; 69,0; 5; 19,17
12087;Palanques; 0; 0,0; 0; 0,0; 0; 0,0
46187;Palma de Gandía; 3; 183,94; 0; 0,0; 0; 0,0
46188;Palmera; 2; 195,31; 1; 97,66; 0; 0,0
46189;Palomar (el); 0; 0,0; 0; 0,0; 0; 0,0
3100;Parcent; 1; 107,64; 0; 0,0; 0; 0,0
46190;Paterna; 539; 767,86; 66; 94,02; 11; 15,67
12088;Pavías; 0; 0,0; 0; 0,0; 0; 0,0
46191;Pedralba; 15; 539,96; 2; 71,99; 1; 36,0
3101;Pedreguer; 37; 480,58; 1; 12,99; 4; 51,95
3102;Pego; 27; 266,59; 0; 0,0; 0; 0,0
3103;Penàguila; 5; 1712,33; 3; 1027,4; 0; 0,0
12089;Peníscola/Peñíscola; 125; 1642,14; 0; 0,0; 0; 0,0
3104;Petrer; 302; 881,08; 76; 221,73; 11; 32,09
46192;Petrés; 2; 200,6; 0; 0,0; 1; 100,3
46193;Picanya; 121; 1050,99; 3; 26,06; 8; 69,49
46194;Picassent; 163; 778,34; 20; 95,5; 5; 23,88
3902;Pilar de la Horadada; 267; 1218,9; 27; 123,26; 15; 68,48
46195;Piles; 10; 372,44; 1; 37,24; 0; 0,0
12090;Pina de Montalgrao; 1; 900,9; 1; 900,9; 0; 0,0
46196;Pinet; 2; 1273,89; 0; 0,0; 0; 0,0
3105;Pinós (el)/Pinoso; 198; 2485,56; 49; 615,11; 1; 12,55
3106;Planes; 0; 0,0; 0; 0,0; 0; 0,0
12093;Pobla de Benifassà (la); 1; 495,05; 0; 0,0; 0; 0,0
46199;Pobla de Farnals (la); 62; 777,14; 18; 225,62; 3; 37,6
46202;Pobla de Vallbona (la); 166; 679,41; 20; 81,86; 2; 8,19
46200;Pobla del Duc (la); 22; 865,12; 1; 39,32; 1; 39,32
46203;Pobla Llarga (la); 47; 1055,71; 6; 134,77; 2; 44,92
12094;Pobla Tornesa (la); 5; 412,88; 0; 0,0; 2; 165,15
3901;Poblets (els); 12; 443,62; 0; 0,0; 0; 0,0
46197;Polinyà de Xúquer; 9; 364,08; 3; 121,36; 0; 0,0
3107;Polop; 18; 362,54; 2; 40,28; 1; 20,14
12091;Portell de Morella; 4; 2030,46; 0; 0,0; 0; 0,0
46198;Potríes; 7; 669,22; 0; 0,0; 0; 0,0
12092;Puebla de Arenoso; 0; 0,0; 0; 0,0; 0; 0,0
46201;Puebla de San Miguel; 0; 0,0; 0; 0,0; 0; 0,0
46204;Puig; 174; 2016,22; 22; 254,92; 11; 127,46
46205;Puçol; 163; 836,11; 39; 200,05; 3; 15,39
46101;Quart de les Valls; 7; 708,5; 3; 303,64; 0; 0,0
46102;Quart de Poblet; 224; 904,68; 18; 72,7; 9; 36,35
46103;Quartell; 43; 2628,36; 2; 122,25; 11; 672,37
46104;Quatretonda; 15; 678,12; 7; 316,46; 0; 0,0
3060;Quatretondeta; 0; 0,0; 0; 0,0; 0; 0,0
46206;Quesa; 9; 1343,28; 0; 0,0; 2; 298,51
3109;Rafal; 30; 666,96; 19; 422,41; 0; 0,0
46207;Rafelbuñol/Rafelbunyol; 80; 894,75; 20; 223,69; 2; 22,37
46208;Rafelcofer; 11; 817,84; 6; 446,1; 1; 74,35
46209;Rafelguaraf; 20; 856,53; 0; 0,0; 1; 42,83
46212;Real; 6; 278,55; 0; 0,0; 1; 46,43
